text,label
The exam results will be published online,exam
The semester deadline has been extended,admin
exam guidelines have been updated,admin
The academic deadline has been extended,admin
Staff exam meeting will be held in the main hall,admin
New academic course materials are uploaded online,academic
Practical admin exams are starting next week,exam
sports results will be available on the portal,academic
Registration for the semester is now open,event
New sports course materials are uploaded online,academic
The annual college will be held this month,event
Students must collect their semester exam hall tickets by tomorrow,exam
The sports exam schedule has been announced,exam
The sports deadline has been extended,admin
The scholarship exam schedule has been announced,exam
New admin course materials are uploaded online,academic
The admin exam schedule has been announced,exam
The exam exam schedule has been announced,exam
Registration for the event is now open,event
faculty guidelines have been updated,admin
Practical faculty exams are starting next week,exam
New admin course materials are uploaded online,academic
Extra scholarship classes are scheduled for this week,academic
Students must collect their semester exam hall tickets by tomorrow,exam
The scholarship lecture will start tomorrow,academic
Practical sports exams are starting next week,exam
event applications are now being accepted,admin
The semester exam schedule has been announced,exam
Practical semester exams are starting next week,exam
Staff college meeting will be held in the main hall,admin
The semester office will remain closed tomorrow,admin
The college lecture will start tomorrow,academic
The annual event will be held this month,event
The event exam schedule has been announced,exam
exam competition will take place next weekend,event
Staff faculty meeting will be held in the main hall,admin
The college lecture will start tomorrow,academic
Registration for the semester is now open,event
semester competition will take place next weekend,event
Final faculty exam instructions have been updated,exam
The admin results will be published online,exam
The college exam schedule has been announced,exam
The annual exam will be held this month,event
The college results will be published online,exam
The admin exam schedule has been announced,exam
Extra exam classes are scheduled for this week,academic
semester results will be available on the portal,academic
academic results will be available on the portal,academic
The college results will be published online,exam
The scholarship lecture will start tomorrow,academic
Final scholarship exam instructions have been updated,exam
Extra admin classes are scheduled for this week,academic
Students must collect their scholarship exam hall tickets by tomorrow,exam
college results will be available on the portal,academic
The faculty office will remain closed tomorrow,admin
The event results will be published online,exam
admin applications are now being accepted,admin
New academic course materials are uploaded online,academic
academic applications are now being accepted,admin
academic applications are now being accepted,admin
The college office will remain closed tomorrow,admin
Extra faculty classes are scheduled for this week,academic
Staff semester meeting will be held in the main hall,admin
The annual admin will be held this month,event
sports results will be available on the portal,academic
The faculty results will be published online,exam
Registration for the exam is now open,event
sports guidelines have been updated,admin
Extra academic classes are scheduled for this week,academic
Seminar on cloud computing for CSE students is announced,event
Practical faculty exams are starting next week,exam
Extra scholarship classes are scheduled for this week,academic
The annual scholarship will be held this month,event
Students are invited to participate in the event,event
The admin is organized by the cultural committee,event
The annual college will be held this month,event
Assignment deadline for semester has been extended,academic
Final faculty exam instructions have been updated,exam
The faculty deadline has been extended,admin
Students must collect their event exam hall tickets by tomorrow,exam
Staff admin meeting will be held in the main hall,admin
Extra faculty classes are scheduled for this week,academic
Final sports exam instructions have been updated,exam
exam competition will take place next weekend,event
The annual scholarship will be held this month,event
The scholarship exam schedule has been announced,exam
Assignment deadline for faculty has been extended,academic
The annual scholarship will be held this month,event
Assignment deadline for scholarship has been extended,academic
The admin office will remain closed tomorrow,admin
Final semester exam instructions have been updated,exam
The academic is organized by the cultural committee,event
The sports lecture will start tomorrow,academic
Students are invited to participate in the sports,event
The academic deadline has been extended,admin
The annual admin will be held this month,event
The semester office will remain closed tomorrow,admin
The annual event will be held this month,event
Students must collect their scholarship exam hall tickets by tomorrow,exam
The academic deadline has been extended,admin
semester results will be available on the portal,academic
The exam is organized by the cultural committee,event
college applications are now being accepted,admin
Final exam timetable has been published,exam
Assignment deadline for sports has been extended,academic
The semester exam schedule has been announced,exam
Mid-semester exam will begin on 15th October,exam
The annual semester will be held this month,event
Students are invited to participate in the academic,event
The academic deadline has been extended,admin
The annual exam will be held this month,event
college guidelines have been updated,admin
New sports course materials are uploaded online,academic
New exam course materials are uploaded online,academic
The scholarship results will be published online,exam
admin guidelines have been updated,admin
The sports exam schedule has been announced,exam
The sports is organized by the cultural committee,event
college results will be available on the portal,academic
The semester results will be published online,exam
The annual semester will be held this month,event
The academic is organized by the cultural committee,event
exam applications are now being accepted,admin
The faculty is organized by the cultural committee,event
Students are invited to participate in the event,event
The academic office will remain closed tomorrow,admin
semester results will be available on the portal,academic
The semester results will be published online,exam
semester results will be available on the portal,academic
Registration for the semester is now open,event
exam results will be available on the portal,academic
The annual faculty will be held this month,event
event competition will take place next weekend,event
The faculty is organized by the cultural committee,event
Staff event meeting will be held in the main hall,admin
New college course materials are uploaded online,academic
New faculty course materials are uploaded online,academic
The exam is organized by the cultural committee,event
event guidelines have been updated,admin
Students are invited to participate in the faculty,event
college guidelines have been updated,admin
Final exam exam instructions have been updated,exam
The exam deadline has been extended,admin
The semester deadline has been extended,admin
The event results will be published online,exam
The event results will be published online,exam
Practical academic exams are starting next week,exam
sports guidelines have been updated,admin
Assignment deadline for college has been extended,academic
The admin is organized by the cultural committee,event
Staff academic meeting will be held in the main hall,admin
Students are invited to participate in the faculty,event
exam applications are now being accepted,admin
The college exam schedule has been announced,exam
event results will be available on the portal,academic
Students must collect their admin exam hall tickets by tomorrow,exam
New academic course materials are uploaded online,academic
faculty applications are now being accepted,admin
Scholarship application forms are available in the office,admin
exam guidelines have been updated,admin
The annual college will be held this month,event
event applications are now being accepted,admin
event results will be available on the portal,academic
Students are invited to participate in the sports,event
exam results will be available on the portal,academic
Assignment submission deadline is extended to 25th September,academic
The college lecture will start tomorrow,academic
Annual cultural festival is scheduled for next month,event
Staff semester meeting will be held in the main hall,admin
Registration for the academic is now open,event
Extra admin classes are scheduled for this week,academic
The annual faculty will be held this month,event
admin results will be available on the portal,academic
Final scholarship exam instructions have been updated,exam
Extra event classes are scheduled for this week,academic
Practical sports exams are starting next week,exam
Additional classes for mathematics will start from Monday,academic
The semester is organized by the cultural committee,event
Final faculty exam instructions have been updated,exam
Students must collect their event exam hall tickets by tomorrow,exam
Practical sports exams are starting next week,exam
semester results will be available on the portal,academic
Students are invited to participate in the faculty,event
Students must collect their exam exam hall tickets by tomorrow,exam
Workshop on Artificial Intelligence will be held on 20th September,event
The event results will be published online,exam
semester competition will take place next weekend,event
academic results will be available on the portal,academic
